user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the mandatory deadline for reporting a suspected data breach to the DPO?,"['[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 2]: portability (Article 20); (f) Right to object (Article 21); (g) Rights related to automated decision-making and profiling (Article 22). 5.2 All requests must be logged in the Data Subject Access Request (DSAR) register and routed to the DPO within 2 business days of receipt by any employee. 5.3 The Company shall not charge a fee for the first request unless the request is manifestly unfounded or excessive, in which case a reasonable administrative fee may apply or the request may be refused with justification provided to the data subject. 6. Data Breach Notification Procedure 6.1 Any employee who becomes aware of an actual or suspected personal data breach must report it to the DPO immediately, and in no case later than 4 hours after discovery. 6.2 Where a breach is likely to result in a risk to the rights and freedoms of natural persons, the DPO must notify the competent supervisory authority without undue delay, and in any case within 72 hours of becoming aware of the breach. 6.3 Where a breach is likely to result in a high risk to data subjects, affected individuals must be notified directly without undue delay, using clear and plain language describing the nature of the breach\n\n[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 6]: Appendix B — Incident Report Template (Summary Fields) 1. Date and time of discovery 2. Name and role of reporting employee 3. Systems or data categories affected 4. Estimated number of data subjects impacted 5. Root cause (if known at time of report) 6. Immediate containment actions taken 7. Whether Special Category Data was involved (Y/N) 8. DPO notified (timestamp) 9. Supervisory authority notification required (Y/N) and deadline 10. Data subject notification required (Y/N) and rationale Appendix C — DSAR Intake Checklist • [ ] Confirm requester identity via approved verification method • [ ] Log request date and channel (email, post, in-person) • [ ] Determine applicable right(s) being exercised • [ ] Identify all systems holding relevant personal data • [ ] Assess for third-party data requiring redaction • [ ] Prepare response within statutory deadline (1 month, extendable to 3) • [ ] Obtain DPO sign-off prior to release • [ ] Log completion date and method of delivery Appendix D — Mandatory Training Requirements Role Training Module Frequency All employees GDPR Fundamentals Annual Managers Handling DSARs and Escalation Annual IT/Engineering Privacy by Design and Secure\n\n[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 0]: Corporate Data Protection and GDPR Compliance Policy Document Reference: DP-POL-2026-04 Classification: Internal — Confidential Effective Date: 1 March 2026 Review Cycle: Annual Owner: Office of the Data Protection Officer (DPO) Applies To: All employees, contractors, and third-party processors handling personal data on behalf of the Company  1. Purpose and Scope This policy establishes the mandatory requirements for the collection, processing, storage, transfer, and deletion of personal data by the Company, in accordance with the General Data Protection Regulation (EU) 2016/679 (""GDPR"") and applicable national implementing legislation. It applies to all business units, subsidiaries, and third-party vendors that process personal data on the Company\'s behalf, regardless of whether such processing occurs within the European Economic Area (EEA). This policy does not apply to fully anonymized data from which no individual can reasonably be re-identified. 2. Definitions 2.1 Personal Data: Any information relating to an identified or identifiable natural person (""data subject""), including names, identification numbers, location data, online identifiers, or factors specific to physical,']","The mandatory deadline for reporting a suspected data breach to the DPO is immediately, and in no case later than 4 hours after discovery. [cite: 6.1, Page 3] The DPO must then notify the competent supervisory authority within 72 hours of becoming aware of the breach if it is likely to result in a risk to the rights and freedoms of natural persons. [cite: 6.2, Page 3]","Any employee who becomes aware of an actual or suspected personal data breach must report it to the DPO immediately, and no later than 4 hours after discovery.",0.75,0.9999999999999997,0.9999999999,1.0
Within how many hours must the DPO notify the supervisory authority of a breach likely to result in risk to data subjects?,"['[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 2]: portability (Article 20); (f) Right to object (Article 21); (g) Rights related to automated decision-making and profiling (Article 22). 5.2 All requests must be logged in the Data Subject Access Request (DSAR) register and routed to the DPO within 2 business days of receipt by any employee. 5.3 The Company shall not charge a fee for the first request unless the request is manifestly unfounded or excessive, in which case a reasonable administrative fee may apply or the request may be refused with justification provided to the data subject. 6. Data Breach Notification Procedure 6.1 Any employee who becomes aware of an actual or suspected personal data breach must report it to the DPO immediately, and in no case later than 4 hours after discovery. 6.2 Where a breach is likely to result in a risk to the rights and freedoms of natural persons, the DPO must notify the competent supervisory authority without undue delay, and in any case within 72 hours of becoming aware of the breach. 6.3 Where a breach is likely to result in a high risk to data subjects, affected individuals must be notified directly without undue delay, using clear and plain language describing the nature of the breach\n\n[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 0]: Corporate Data Protection and GDPR Compliance Policy Document Reference: DP-POL-2026-04 Classification: Internal — Confidential Effective Date: 1 March 2026 Review Cycle: Annual Owner: Office of the Data Protection Officer (DPO) Applies To: All employees, contractors, and third-party processors handling personal data on behalf of the Company  1. Purpose and Scope This policy establishes the mandatory requirements for the collection, processing, storage, transfer, and deletion of personal data by the Company, in accordance with the General Data Protection Regulation (EU) 2016/679 (""GDPR"") and applicable national implementing legislation. It applies to all business units, subsidiaries, and third-party vendors that process personal data on the Company\'s behalf, regardless of whether such processing occurs within the European Economic Area (EEA). This policy does not apply to fully anonymized data from which no individual can reasonably be re-identified. 2. Definitions 2.1 Personal Data: Any information relating to an identified or identifiable natural person (""data subject""), including names, identification numbers, location data, online identifiers, or factors specific to physical,\n\n[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 2]: a breach is likely to result in a high risk to data subjects, affected individuals must be notified directly without undue delay, using clear and plain language describing the nature of the breach and the measures taken. 6.4 The Incident Response Team must maintain a Breach Register documenting: the nature of the breach, categories and approximate number of data subjects affected, likely consequences, and remedial measures taken. 7. International Data Transfers 7.1 Transfers of personal data outside the EEA are prohibited unless one of the following safeguards is in place: (a) An adequacy decision issued by the European Commission for the destination country; (b) Standard Contractual Clauses (SCCs) approved by the European Commission; (c) Binding Corporate Rules (BCRs) approved by the competent supervisory authority; (d) An explicit derogation under Article 49 GDPR, applied only in exceptional and non-repetitive circumstances. 7.2 All cross-border data flows must be documented in the Company\'s Transfer Impact Assessment (TIA) register prior to transfer taking place. 8. Data Protection Impact Assessments (DPIA) 8.1 A DPIA is mandatory prior to processing that is likely to result in']","The DPO must notify the supervisory authority within 72 hours of becoming aware of a breach likely to result in a risk to the rights and freedoms of natural persons. [cite: 6.2, Page 1] This notification must be made without undue delay. [cite: 6.2, Page 1]","The DPO must notify the competent supervisory authority without undue delay, and in any case within 72 hours of becoming aware of the breach.",0.6666666666666666,0.9499898245013941,0.9999999999,1.0
How long are unsuccessful job applicants' data retained for?,"['[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 1]: Retention periods must be defined for each category of personal data and documented in the Company\'s Record of Processing Activities (RoPA). Unless a longer period is required by law, the following default retention schedule applies: Data Category Default Retention Period Employee HR records 6 years post-termination Customer transaction records 7 years Marketing consent records 3 years from last engagement CCTV footage 30 days Job applicant data (unsuccessful candidates) 12 months 4.3 At the expiry of the applicable retention period, personal data must be securely deleted or irreversibly anonymized within 30 calendar days. 5. Data Subject Rights 5.1 The Company must be able to respond to the following data subject rights requests within one calendar month of receipt, extendable by two further months for complex requests with notification to the data subject: (a) Right of access (Article 15); (b) Right to rectification (Article 16); (c) Right to erasure / ""right to be forgotten"" (Article 17); (d) Right to restriction of processing (Article 18); (e) Right to data\n\n[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 5]: Is it acceptable to store customer data on a personal laptop or USB drive? No. All personal data must remain within Company-approved, encrypted systems. Local or removable storage of personal data is prohibited absent a documented and approved exception. Q4: We are launching a new mobile app that will collect location data. What is required? A DPIA must be completed and approved by the DPO before the feature is deployed, given that location data processing may qualify as high-risk under Section 8.1. Q5: How long can we keep CVs of unsuccessful job applicants? 12 months from the date the recruitment decision is communicated, after which the data must be deleted unless the candidate has separately consented to inclusion in a talent pool. Appendix A — Data Retention Schedule (Extended) Data Category Department Retention Period Legal Basis for Retention Payroll records Finance 7 years Statutory tax/accounting obligation Performance reviews HR 3 years post-review Legitimate interest Whistleblowing reports Legal/Compliance 5 years Legal obligation Supplier due diligence files Procurement 5 years post-contract Legitimate interest\n\n[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 6]: Data Category Department Retention Period Legal Basis for Retention Website analytics (aggregated) Marketing 26 months Consent Helpdesk support tickets IT 2 years Legitimate interest Access control logs (badge swipes) Facilities 90 days Legitimate interest / security']","Unsuccessful job applicants' data is retained for 12 months. This is stated in the default retention schedule [cite: Page 1]. After this period, the data must be securely deleted or irreversibly anonymized within 30 calendar days.","Job applicant data for unsuccessful candidates is retained for 12 months, after which it must be deleted unless the candidate separately consents to inclusion in a talent pool.",1.0,0.9870171460968894,0.9999999999,1.0
What is the standard timeframe for responding to a data subject access request (DSAR)?,"[""[Source: 'Corporate Data Protection and GDPR Compliance Policy', Page: 2]: portability (Article 20); (f) Right to object (Article 21); (g) Rights related to automated decision-making and profiling (Article 22). 5.2 All requests must be logged in the Data Subject Access Request (DSAR) register and routed to the DPO within 2 business days of receipt by any employee. 5.3 The Company shall not charge a fee for the first request unless the request is manifestly unfounded or excessive, in which case a reasonable administrative fee may apply or the request may be refused with justification provided to the data subject. 6. Data Breach Notification Procedure 6.1 Any employee who becomes aware of an actual or suspected personal data breach must report it to the DPO immediately, and in no case later than 4 hours after discovery. 6.2 Where a breach is likely to result in a risk to the rights and freedoms of natural persons, the DPO must notify the competent supervisory authority without undue delay, and in any case within 72 hours of becoming aware of the breach. 6.3 Where a breach is likely to result in a high risk to data subjects, affected individuals must be notified directly without undue delay, using clear and plain language describing the nature of the breach\n\n[Source: 'Corporate Data Protection and GDPR Compliance Policy', Page: 6]: Appendix B — Incident Report Template (Summary Fields) 1. Date and time of discovery 2. Name and role of reporting employee 3. Systems or data categories affected 4. Estimated number of data subjects impacted 5. Root cause (if known at time of report) 6. Immediate containment actions taken 7. Whether Special Category Data was involved (Y/N) 8. DPO notified (timestamp) 9. Supervisory authority notification required (Y/N) and deadline 10. Data subject notification required (Y/N) and rationale Appendix C — DSAR Intake Checklist • [ ] Confirm requester identity via approved verification method • [ ] Log request date and channel (email, post, in-person) • [ ] Determine applicable right(s) being exercised • [ ] Identify all systems holding relevant personal data • [ ] Assess for third-party data requiring redaction • [ ] Prepare response within statutory deadline (1 month, extendable to 3) • [ ] Obtain DPO sign-off prior to release • [ ] Log completion date and method of delivery Appendix D — Mandatory Training Requirements Role Training Module Frequency All employees GDPR Fundamentals Annual Managers Handling DSARs and Escalation Annual IT/Engineering Privacy by Design and Secure\n\n[Source: 'Corporate Data Protection and GDPR Compliance Policy', Page: 6]: D — Mandatory Training Requirements Role Training Module Frequency All employees GDPR Fundamentals Annual Managers Handling DSARs and Escalation Annual IT/Engineering Privacy by Design and Secure Development Annual Customer Support Identity Verification and Data Minimization Bi-annual New hires Onboarding Data Protection Briefing Within first 14 days""]","The standard timeframe for responding to a data subject access request (DSAR) is within 1 month, as stated in the DSAR Intake Checklist [cite: Page 6]. However, this timeframe can be extended to 3 months in certain cases. The Company must prepare the response within this statutory deadline.","The Company must respond to data subject rights requests within one calendar month of receipt, extendable by two further months for complex requests with notification to the data subject.",0.2,1.0,0.9999999999,1.0
Within how many business days must a DSAR be logged and forwarded to the DPO after an employee receives it?,"[""[Source: 'Corporate Data Protection and GDPR Compliance Policy', Page: 6]: Appendix B — Incident Report Template (Summary Fields) 1. Date and time of discovery 2. Name and role of reporting employee 3. Systems or data categories affected 4. Estimated number of data subjects impacted 5. Root cause (if known at time of report) 6. Immediate containment actions taken 7. Whether Special Category Data was involved (Y/N) 8. DPO notified (timestamp) 9. Supervisory authority notification required (Y/N) and deadline 10. Data subject notification required (Y/N) and rationale Appendix C — DSAR Intake Checklist • [ ] Confirm requester identity via approved verification method • [ ] Log request date and channel (email, post, in-person) • [ ] Determine applicable right(s) being exercised • [ ] Identify all systems holding relevant personal data • [ ] Assess for third-party data requiring redaction • [ ] Prepare response within statutory deadline (1 month, extendable to 3) • [ ] Obtain DPO sign-off prior to release • [ ] Log completion date and method of delivery Appendix D — Mandatory Training Requirements Role Training Module Frequency All employees GDPR Fundamentals Annual Managers Handling DSARs and Escalation Annual IT/Engineering Privacy by Design and Secure\n\n[Source: 'Corporate Data Protection and GDPR Compliance Policy', Page: 2]: portability (Article 20); (f) Right to object (Article 21); (g) Rights related to automated decision-making and profiling (Article 22). 5.2 All requests must be logged in the Data Subject Access Request (DSAR) register and routed to the DPO within 2 business days of receipt by any employee. 5.3 The Company shall not charge a fee for the first request unless the request is manifestly unfounded or excessive, in which case a reasonable administrative fee may apply or the request may be refused with justification provided to the data subject. 6. Data Breach Notification Procedure 6.1 Any employee who becomes aware of an actual or suspected personal data breach must report it to the DPO immediately, and in no case later than 4 hours after discovery. 6.2 Where a breach is likely to result in a risk to the rights and freedoms of natural persons, the DPO must notify the competent supervisory authority without undue delay, and in any case within 72 hours of becoming aware of the breach. 6.3 Where a breach is likely to result in a high risk to data subjects, affected individuals must be notified directly without undue delay, using clear and plain language describing the nature of the breach\n\n[Source: 'Corporate Data Protection and GDPR Compliance Policy', Page: 6]: D — Mandatory Training Requirements Role Training Module Frequency All employees GDPR Fundamentals Annual Managers Handling DSARs and Escalation Annual IT/Engineering Privacy by Design and Secure Development Annual Customer Support Identity Verification and Data Minimization Bi-annual New hires Onboarding Data Protection Briefing Within first 14 days""]","A DSAR must be logged and forwarded to the DPO within 2 business days of receipt by any employee. [cite: Page 2, Section 5.2] This is stated in the Corporate Data Protection and GDPR Compliance Policy. This timeframe is in addition to preparing the response within the statutory deadline of 1 month.",All requests must be logged in the DSAR register and routed to the DPO within 2 business days of receipt by any employee.,0.8,0.947859174107939,0.9999999999,1.0
What lawful bases under Article 6 GDPR can processing rely on?,"['[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 1]: 3. Lawful Basis for Processing 3.1 All processing of personal data must rely on at least one of the following lawful bases under Article 6 GDPR: (a) Consent of the data subject; (b) Necessity for the performance of a contract; (c) Compliance with a legal obligation; (d) Protection of vital interests; (e) Performance of a task carried out in the public interest; (f) Legitimate interests pursued by the Company, provided such interests are not overridden by the data subject\'s rights. 3.2 Where processing relies on consent, consent must be freely given, specific, informed, and unambiguous. Consent must be as easy to withdraw as it is to give. 3.3 Special Category Data may only be processed where an additional condition under Article 9 GDPR is satisfied, such as explicit consent or necessity for employment law obligations. 4. Data Minimization and Retention 4.1 Personal data collected must be adequate, relevant, and limited to what is necessary for the stated purpose of processing. 4.2 Retention periods must be defined for each category of personal data and documented in the Company\'s Record of Processing Activities (RoPA). Unless a longer period is required by law, the following\n\n[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 2]: portability (Article 20); (f) Right to object (Article 21); (g) Rights related to automated decision-making and profiling (Article 22). 5.2 All requests must be logged in the Data Subject Access Request (DSAR) register and routed to the DPO within 2 business days of receipt by any employee. 5.3 The Company shall not charge a fee for the first request unless the request is manifestly unfounded or excessive, in which case a reasonable administrative fee may apply or the request may be refused with justification provided to the data subject. 6. Data Breach Notification Procedure 6.1 Any employee who becomes aware of an actual or suspected personal data breach must report it to the DPO immediately, and in no case later than 4 hours after discovery. 6.2 Where a breach is likely to result in a risk to the rights and freedoms of natural persons, the DPO must notify the competent supervisory authority without undue delay, and in any case within 72 hours of becoming aware of the breach. 6.3 Where a breach is likely to result in a high risk to data subjects, affected individuals must be notified directly without undue delay, using clear and plain language describing the nature of the breach\n\n[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 0]: Corporate Data Protection and GDPR Compliance Policy Document Reference: DP-POL-2026-04 Classification: Internal — Confidential Effective Date: 1 March 2026 Review Cycle: Annual Owner: Office of the Data Protection Officer (DPO) Applies To: All employees, contractors, and third-party processors handling personal data on behalf of the Company  1. Purpose and Scope This policy establishes the mandatory requirements for the collection, processing, storage, transfer, and deletion of personal data by the Company, in accordance with the General Data Protection Regulation (EU) 2016/679 (""GDPR"") and applicable national implementing legislation. It applies to all business units, subsidiaries, and third-party vendors that process personal data on the Company\'s behalf, regardless of whether such processing occurs within the European Economic Area (EEA). This policy does not apply to fully anonymized data from which no individual can reasonably be re-identified. 2. Definitions 2.1 Personal Data: Any information relating to an identified or identifiable natural person (""data subject""), including names, identification numbers, location data, online identifiers, or factors specific to physical,']","Processing can rely on the following lawful bases under Article 6 GDPR: (a) Consent of the data subject; (b) Necessity for the performance of a contract; (c) Compliance with a legal obligation; (d) Protection of vital interests; (e) Performance of a task carried out in the public interest; (f) Legitimate interests pursued by the Company. [cite: Page 1, Section 3.1]","Processing may rely on consent, necessity for performance of a contract, compliance with a legal obligation, protection of vital interests, performance of a task in the public interest, or legitimate interests pursued by the Company.",1.0,0.9807564551622199,0.9999999999,1.0
Under what conditions can Special Category Data be processed?,"['[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 0]: Any information relating to an identified or identifiable natural person (""data subject""), including names, identification numbers, location data, online identifiers, or factors specific to physical, physiological, genetic, mental, economic, cultural, or social identity. 2.2 Special Category Data: Personal data revealing racial or ethnic origin, political opinions, religious beliefs, trade union membership, genetic data, biometric data used for identification, health data, or data concerning sex life or sexual orientation. 2.3 Processing: Any operation performed on personal data, including collection, recording, organization, structuring, storage, adaptation, retrieval, use, disclosure, or erasure. 2.4 Data Controller: The entity that determines the purposes and means of processing personal data. 2.5 Data Processor: The entity that processes personal data on behalf of the Data Controller. 2.6 Data Protection Impact Assessment (DPIA): A structured process to identify and minimize the data protection risks of a project or system.\n\n[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 3]: (a) Systematic and extensive profiling with legal or similarly significant effects; (b) Large-scale processing of Special Category Data; (c) Systematic monitoring of publicly accessible areas on a large scale; (d) Deployment of new technologies with novel or high-risk processing characteristics. 8.2 The DPIA must assess the necessity and proportionality of the processing, identify risks to data subjects, and document mitigation measures. Residual high risks that cannot be mitigated must be referred to the supervisory authority for prior consultation. 9. Vendor and Third-Party Processor Management 9.1 No personal data may be shared with a third-party processor unless a Data Processing Agreement (DPA) compliant with Article 28 GDPR is executed prior to data transfer. 9.2 The DPA must specify: the subject matter and duration of processing, the nature and purpose of processing, the type of personal data and categories of data subjects, and the obligations and rights of the controller. 9.3 Processors must not engage a sub-processor without prior specific or general written authorization of the Company, and any sub-processing arrangement must impose equivalent data protection\n\n[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 1]: 3. Lawful Basis for Processing 3.1 All processing of personal data must rely on at least one of the following lawful bases under Article 6 GDPR: (a) Consent of the data subject; (b) Necessity for the performance of a contract; (c) Compliance with a legal obligation; (d) Protection of vital interests; (e) Performance of a task carried out in the public interest; (f) Legitimate interests pursued by the Company, provided such interests are not overridden by the data subject\'s rights. 3.2 Where processing relies on consent, consent must be freely given, specific, informed, and unambiguous. Consent must be as easy to withdraw as it is to give. 3.3 Special Category Data may only be processed where an additional condition under Article 9 GDPR is satisfied, such as explicit consent or necessity for employment law obligations. 4. Data Minimization and Retention 4.1 Personal data collected must be adequate, relevant, and limited to what is necessary for the stated purpose of processing. 4.2 Retention periods must be defined for each category of personal data and documented in the Company\'s Record of Processing Activities (RoPA). Unless a longer period is required by law, the following']","Special Category Data can be processed under the following conditions: (a) explicit consent, (b) necessity for employment law obligations, or (b) necessity for the performance of a contract. [cite: Page 1, Section 3.3] This is in accordance with Article 9 GDPR.","Special Category Data may only be processed where an additional condition under Article 9 GDPR is satisfied, such as explicit consent or necessity for employment law obligations.",1.0,0.9882144825953164,0.9999999999,1.0
When is a Data Protection Impact Assessment (DPIA) mandatory?,"['[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 2]: Transfer Impact Assessment (TIA) register prior to transfer taking place. 8. Data Protection Impact Assessments (DPIA) 8.1 A DPIA is mandatory prior to processing that is likely to result in high risk, including:\n\n[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 3]: (a) Systematic and extensive profiling with legal or similarly significant effects; (b) Large-scale processing of Special Category Data; (c) Systematic monitoring of publicly accessible areas on a large scale; (d) Deployment of new technologies with novel or high-risk processing characteristics. 8.2 The DPIA must assess the necessity and proportionality of the processing, identify risks to data subjects, and document mitigation measures. Residual high risks that cannot be mitigated must be referred to the supervisory authority for prior consultation. 9. Vendor and Third-Party Processor Management 9.1 No personal data may be shared with a third-party processor unless a Data Processing Agreement (DPA) compliant with Article 28 GDPR is executed prior to data transfer. 9.2 The DPA must specify: the subject matter and duration of processing, the nature and purpose of processing, the type of personal data and categories of data subjects, and the obligations and rights of the controller. 9.3 Processors must not engage a sub-processor without prior specific or general written authorization of the Company, and any sub-processing arrangement must impose equivalent data protection\n\n[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 0]: Corporate Data Protection and GDPR Compliance Policy Document Reference: DP-POL-2026-04 Classification: Internal — Confidential Effective Date: 1 March 2026 Review Cycle: Annual Owner: Office of the Data Protection Officer (DPO) Applies To: All employees, contractors, and third-party processors handling personal data on behalf of the Company  1. Purpose and Scope This policy establishes the mandatory requirements for the collection, processing, storage, transfer, and deletion of personal data by the Company, in accordance with the General Data Protection Regulation (EU) 2016/679 (""GDPR"") and applicable national implementing legislation. It applies to all business units, subsidiaries, and third-party vendors that process personal data on the Company\'s behalf, regardless of whether such processing occurs within the European Economic Area (EEA). This policy does not apply to fully anonymized data from which no individual can reasonably be re-identified. 2. Definitions 2.1 Personal Data: Any information relating to an identified or identifiable natural person (""data subject""), including names, identification numbers, location data, online identifiers, or factors specific to physical,']","A Data Protection Impact Assessment (DPIA) is mandatory prior to processing that is likely to result in high risk, including systematic and extensive profiling, large-scale processing of Special Category Data, and deployment of new technologies with novel or high-risk processing characteristics [cite: 'Corporate Data Protection and GDPR Compliance Policy', Page: 3]. The DPIA must assess the necessity and proportionality of the processing, identify risks to data subjects, and document mitigation measures [cite: 'Corporate Data Protection and GDPR Compliance Policy', Page: 3]. Residual high risks that cannot be mitigated must be referred to the supervisory authority for prior consultation.","A DPIA is mandatory before processing likely to result in high risk, including systematic and extensive profiling with legal effects, large-scale processing of Special Category Data, systematic large-scale monitoring of public areas, or deployment of novel high-risk technologies.",0.7777777777777778,0.8379228775410614,0.9999999999,1.0
What must a Data Processing Agreement (DPA) with a third-party processor specify?,"[""[Source: 'Corporate Data Protection and GDPR Compliance Policy', Page: 3]: (a) Systematic and extensive profiling with legal or similarly significant effects; (b) Large-scale processing of Special Category Data; (c) Systematic monitoring of publicly accessible areas on a large scale; (d) Deployment of new technologies with novel or high-risk processing characteristics. 8.2 The DPIA must assess the necessity and proportionality of the processing, identify risks to data subjects, and document mitigation measures. Residual high risks that cannot be mitigated must be referred to the supervisory authority for prior consultation. 9. Vendor and Third-Party Processor Management 9.1 No personal data may be shared with a third-party processor unless a Data Processing Agreement (DPA) compliant with Article 28 GDPR is executed prior to data transfer. 9.2 The DPA must specify: the subject matter and duration of processing, the nature and purpose of processing, the type of personal data and categories of data subjects, and the obligations and rights of the controller. 9.3 Processors must not engage a sub-processor without prior specific or general written authorization of the Company, and any sub-processing arrangement must impose equivalent data protection\n\n[Source: 'Corporate Data Protection and GDPR Compliance Policy', Page: 1]: 3. Lawful Basis for Processing 3.1 All processing of personal data must rely on at least one of the following lawful bases under Article 6 GDPR: (a) Consent of the data subject; (b) Necessity for the performance of a contract; (c) Compliance with a legal obligation; (d) Protection of vital interests; (e) Performance of a task carried out in the public interest; (f) Legitimate interests pursued by the Company, provided such interests are not overridden by the data subject's rights. 3.2 Where processing relies on consent, consent must be freely given, specific, informed, and unambiguous. Consent must be as easy to withdraw as it is to give. 3.3 Special Category Data may only be processed where an additional condition under Article 9 GDPR is satisfied, such as explicit consent or necessity for employment law obligations. 4. Data Minimization and Retention 4.1 Personal data collected must be adequate, relevant, and limited to what is necessary for the stated purpose of processing. 4.2 Retention periods must be defined for each category of personal data and documented in the Company's Record of Processing Activities (RoPA). Unless a longer period is required by law, the following\n\n[Source: 'Corporate Data Protection and GDPR Compliance Policy', Page: 3]: 9.3 Processors must not engage a sub-processor without prior specific or general written authorization of the Company, and any sub-processing arrangement must impose equivalent data protection obligations. 9.4 The Procurement function must maintain an approved vendor register indicating each vendor's data processing role, transfer mechanism (if applicable), and last audit date. 10. Roles and Responsibilities 10.1 Data Protection Officer (DPO): Monitors compliance, serves as the point of contact for supervisory authorities and data subjects, advises on DPIAs, and maintains the RoPA. 10.2 Business Unit Owners: Ensure processing activities within their function comply with this policy and cooperate with DPIA and audit requests. 10.3 IT Security: Implements technical measures including encryption at rest and in transit, access controls based on the principle of least privilege, and regular vulnerability assessments. 10.4 All Employees: Must complete mandatory annual data protection training and report any suspected breach or non-compliance immediately. 11. Enforcement and Sanctions 11.1 Non-compliance with this policy by an employee may result in disciplinary action up to and""]","A Data Processing Agreement (DPA) with a third-party processor must specify the subject matter and duration of processing, the nature and purpose of processing, the type of personal data and categories of data subjects, and the obligations and rights of the controller. [cite: 'Corporate Data Protection and GDPR Compliance Policy', Page: 9.2] This is in accordance with Article 28 GDPR. The DPA must also impose equivalent data protection obligations on any sub-processor. [cite: 'Corporate Data Protection and GDPR Compliance Policy', Page: 9.3]","The DPA must specify the subject matter and duration of processing, the nature and purpose of processing, the type of personal data and categories of data subjects, and the obligations and rights of the controller.",1.0,0.9904243548911684,0.9999999999,1.0
Can a data processor engage a sub-processor without authorization?,"['[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 3]: 9.3 Processors must not engage a sub-processor without prior specific or general written authorization of the Company, and any sub-processing arrangement must impose equivalent data protection obligations. 9.4 The Procurement function must maintain an approved vendor register indicating each vendor\'s data processing role, transfer mechanism (if applicable), and last audit date. 10. Roles and Responsibilities 10.1 Data Protection Officer (DPO): Monitors compliance, serves as the point of contact for supervisory authorities and data subjects, advises on DPIAs, and maintains the RoPA. 10.2 Business Unit Owners: Ensure processing activities within their function comply with this policy and cooperate with DPIA and audit requests. 10.3 IT Security: Implements technical measures including encryption at rest and in transit, access controls based on the principle of least privilege, and regular vulnerability assessments. 10.4 All Employees: Must complete mandatory annual data protection training and report any suspected breach or non-compliance immediately. 11. Enforcement and Sanctions 11.1 Non-compliance with this policy by an employee may result in disciplinary action up to and\n\n[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 3]: (a) Systematic and extensive profiling with legal or similarly significant effects; (b) Large-scale processing of Special Category Data; (c) Systematic monitoring of publicly accessible areas on a large scale; (d) Deployment of new technologies with novel or high-risk processing characteristics. 8.2 The DPIA must assess the necessity and proportionality of the processing, identify risks to data subjects, and document mitigation measures. Residual high risks that cannot be mitigated must be referred to the supervisory authority for prior consultation. 9. Vendor and Third-Party Processor Management 9.1 No personal data may be shared with a third-party processor unless a Data Processing Agreement (DPA) compliant with Article 28 GDPR is executed prior to data transfer. 9.2 The DPA must specify: the subject matter and duration of processing, the nature and purpose of processing, the type of personal data and categories of data subjects, and the obligations and rights of the controller. 9.3 Processors must not engage a sub-processor without prior specific or general written authorization of the Company, and any sub-processing arrangement must impose equivalent data protection\n\n[Source: \'Corporate Data Protection and GDPR Compliance Policy\', Page: 4]: may be set without consent. All other categories require opt-in consent, and users must be able to withdraw consent as easily as they granted it, accessible via a persistent ""Cookie Preferences"" control. 14.3 A record of consent (timestamp, IP address hash, consent string) must be retained for 12 months to demonstrate compliance in the event of a regulatory audit.']","A data processor cannot engage a sub-processor without prior specific or general written authorization of the Company. [cite: 9.3, Page 3] This is stated in the Corporate Data Protection and GDPR Compliance Policy, which requires written authorization for any sub-processing arrangement. [cite: 9.3, Page 3]","No. Processors must not engage a sub-processor without prior specific or general written authorization of the Company, and any sub-processing arrangement must impose equivalent data protection obligations.",0.6666666666666666,0.6987036268461068,0.9999999999,1.0
